timestamp,testcase,workload,latency
"2022-05-06 15:45:03",firewall,wo,0.671
"2022-05-06 15:45:03",firewall,wo,0.836
"2022-05-06 15:45:03",firewall,wo,0.690
"2022-05-06 15:45:03",firewall,wo,0.734
"2022-05-06 15:45:03",firewall,wo,0.715
"2022-05-06 15:45:03",firewall,wo,0.868
"2022-05-06 15:45:03",firewall,wo,0.760
"2022-05-06 15:45:03",firewall,wo,0.760
"2022-05-06 15:45:03",firewall,wo,0.668
"2022-05-06 15:45:03",firewall,wo,0.685
"2022-05-06 15:45:21",firewall,wt,0.231
"2022-05-06 15:45:21",firewall,wt,0.228
"2022-05-06 15:45:21",firewall,wt,0.249
"2022-05-06 15:45:21",firewall,wt,0.272
"2022-05-06 15:45:21",firewall,wt,0.210
"2022-05-06 15:45:21",firewall,wt,0.256
"2022-05-06 15:45:21",firewall,wt,0.235
"2022-05-06 15:45:21",firewall,wt,0.201
"2022-05-06 15:45:21",firewall,wt,0.265
"2022-05-06 15:45:21",firewall,wt,0.233
"2022-05-06 15:46:22",firewall,wo,0.591
"2022-05-06 15:46:22",firewall,wo,0.634
"2022-05-06 15:46:22",firewall,wo,0.753
"2022-05-06 15:46:22",firewall,wo,0.755
"2022-05-06 15:46:22",firewall,wo,1.221
"2022-05-06 15:46:22",firewall,wo,0.589
"2022-05-06 15:46:22",firewall,wo,0.912
"2022-05-06 15:46:22",firewall,wo,0.828
"2022-05-06 15:46:22",firewall,wo,0.856
"2022-05-06 15:46:22",firewall,wo,0.583
"2022-05-06 15:46:40",firewall,wt,0.244
"2022-05-06 15:46:40",firewall,wt,0.269
"2022-05-06 15:46:40",firewall,wt,0.260
"2022-05-06 15:46:40",firewall,wt,0.299
"2022-05-06 15:46:40",firewall,wt,0.267
"2022-05-06 15:46:40",firewall,wt,0.277
"2022-05-06 15:46:40",firewall,wt,0.273
"2022-05-06 15:46:40",firewall,wt,0.217
"2022-05-06 15:46:40",firewall,wt,0.302
"2022-05-06 15:46:40",firewall,wt,0.315
"2022-05-06 15:47:51",firewall,wo,0.758
"2022-05-06 15:47:51",firewall,wo,0.774
"2022-05-06 15:47:51",firewall,wo,0.890
"2022-05-06 15:47:51",firewall,wo,0.882
"2022-05-06 15:47:51",firewall,wo,0.668
"2022-05-06 15:47:51",firewall,wo,0.757
"2022-05-06 15:47:51",firewall,wo,0.607
"2022-05-06 15:47:51",firewall,wo,0.549
"2022-05-06 15:47:51",firewall,wo,0.983
"2022-05-06 15:47:51",firewall,wo,0.723
"2022-05-06 15:48:09",firewall,wt,0.248
"2022-05-06 15:48:09",firewall,wt,0.245
"2022-05-06 15:48:09",firewall,wt,0.236
"2022-05-06 15:48:09",firewall,wt,0.421
"2022-05-06 15:48:09",firewall,wt,0.177
"2022-05-06 15:48:09",firewall,wt,0.282
"2022-05-06 15:48:09",firewall,wt,0.240
"2022-05-06 15:48:09",firewall,wt,0.224
"2022-05-06 15:48:09",firewall,wt,0.237
"2022-05-06 15:48:09",firewall,wt,0.225
"2022-05-06 15:49:14",firewall,wo,0.656
"2022-05-06 15:49:14",firewall,wo,0.661
"2022-05-06 15:49:14",firewall,wo,0.786
"2022-05-06 15:49:14",firewall,wo,0.743
"2022-05-06 15:49:14",firewall,wo,0.697
"2022-05-06 15:49:14",firewall,wo,0.895
"2022-05-06 15:49:14",firewall,wo,0.669
"2022-05-06 15:49:14",firewall,wo,0.710
"2022-05-06 15:49:14",firewall,wo,0.758
"2022-05-06 15:49:14",firewall,wo,0.811
"2022-05-06 15:49:31",firewall,wt,0.259
"2022-05-06 15:49:31",firewall,wt,0.295
"2022-05-06 15:49:31",firewall,wt,0.248
"2022-05-06 15:49:31",firewall,wt,0.297
"2022-05-06 15:49:31",firewall,wt,0.232
"2022-05-06 15:49:31",firewall,wt,0.256
"2022-05-06 15:49:31",firewall,wt,0.261
"2022-05-06 15:49:31",firewall,wt,0.320
"2022-05-06 15:49:31",firewall,wt,0.295
"2022-05-06 15:49:31",firewall,wt,0.244
"2022-05-06 15:50:38",firewall,wo,0.696
"2022-05-06 15:50:38",firewall,wo,1.173
"2022-05-06 15:50:38",firewall,wo,0.656
"2022-05-06 15:50:38",firewall,wo,0.694
"2022-05-06 15:50:38",firewall,wo,0.694
"2022-05-06 15:50:38",firewall,wo,0.903
"2022-05-06 15:50:38",firewall,wo,0.761
"2022-05-06 15:50:38",firewall,wo,0.937
"2022-05-06 15:50:38",firewall,wo,0.888
"2022-05-06 15:50:38",firewall,wo,0.583
"2022-05-06 15:50:56",firewall,wt,0.262
"2022-05-06 15:50:56",firewall,wt,0.415
"2022-05-06 15:50:56",firewall,wt,0.234
"2022-05-06 15:50:56",firewall,wt,0.253
"2022-05-06 15:50:56",firewall,wt,0.268
"2022-05-06 15:50:56",firewall,wt,0.254
"2022-05-06 15:50:56",firewall,wt,0.305
"2022-05-06 15:50:56",firewall,wt,0.270
"2022-05-06 15:50:56",firewall,wt,0.216
"2022-05-06 15:50:56",firewall,wt,0.293
"2022-05-06 15:52:46",netsniff-ng,wo,0.315
"2022-05-06 15:52:46",netsniff-ng,wo,0.265
"2022-05-06 15:52:46",netsniff-ng,wo,0.248
"2022-05-06 15:52:46",netsniff-ng,wo,0.738
"2022-05-06 15:52:46",netsniff-ng,wo,0.570
"2022-05-06 15:52:46",netsniff-ng,wo,0.358
"2022-05-06 15:52:46",netsniff-ng,wo,0.419
"2022-05-06 15:52:46",netsniff-ng,wo,0.482
"2022-05-06 15:52:46",netsniff-ng,wo,0.327
"2022-05-06 15:52:46",netsniff-ng,wo,0.324
"2022-05-06 15:53:04",netsniff-ng,wt,0.162
"2022-05-06 15:53:04",netsniff-ng,wt,0.179
"2022-05-06 15:53:04",netsniff-ng,wt,0.227
"2022-05-06 15:53:04",netsniff-ng,wt,0.171
"2022-05-06 15:53:04",netsniff-ng,wt,0.293
"2022-05-06 15:53:04",netsniff-ng,wt,0.173
"2022-05-06 15:53:04",netsniff-ng,wt,0.160
"2022-05-06 15:53:04",netsniff-ng,wt,0.223
"2022-05-06 15:53:04",netsniff-ng,wt,0.188
"2022-05-06 15:53:04",netsniff-ng,wt,0.194
"2022-05-06 15:54:04",netsniff-ng,wo,0.332
"2022-05-06 15:54:04",netsniff-ng,wo,0.356
"2022-05-06 15:54:04",netsniff-ng,wo,0.512
