testcase,protocol,bandwidth,latency,vnf,g_cpu_time,g_vcpu_time,g_user_time,g_system_time,h_cpu_percent,h_user_time,h_system_time,h_mem_percent,h_total_mem,h_rss_mem,g_read_count,g_read_bytes,g_write_count,g_write_bytes,pps_recv,bps_recv,pps_sent,bps_sent,h_num_threads,h_vol_ctx,h_invol_ctx
firewall(2),tcp,200,0.724,firewall,0.000000000,0.000000000,0.000000000,0.000000000,85.80,0.605053891,0.228135074,1.41,1024.00,906.81,0.00,0.00,11.00,57344.00,122846.00,1071183200.00,93333718.00,48422062928.00,7.00,969.67,0.00
firewall(2),tcp,400,0.754,firewall,0.000000000,0.000000000,0.000000000,0.000000000,139.60,1.056479218,0.307003674,1.41,1024.00,906.81,0.00,0.00,2.00,16384.00,238289.00,2078576400.00,94238142.00,48902962256.00,7.00,977.14,0.99
firewall(2),tcp,600,0.758,firewall,0.000000000,0.000000000,0.000000000,0.000000000,145.45,1.068614866,0.356916057,1.41,1024.00,906.81,0.00,0.00,37.00,180224.00,226078.00,1971394784.00,95424767.00,49539350376.00,7.00,971.43,0.00
firewall(2),tcp,800,0.726,firewall,0.000000000,0.000000000,0.000000000,0.000000000,141.60,1.053840230,0.356730547,1.41,1024.00,906.81,0.00,0.00,2.00,16384.00,226090.00,1971504800.00,96315672.00,50009779328.00,7.00,973.49,0.00
firewall(2),tcp,1000,0.696,firewall,0.000000000,0.000000000,0.000000000,0.000000000,141.30,1.069930778,0.327155643,1.41,1024.00,906.81,0.00,0.00,0.00,0.00,225529.00,1966606096.00,97176458.00,50464305416.00,7.00,976.71,0.00
firewall(2),tcp,200,0.724,firewall,0.000000000,0.000000000,0.000000000,0.000000000,85.80,0.605053891,0.228135074,1.41,1024.00,906.81,0.00,0.00,11.00,57344.00,122846.00,1071183200.00,93333718.00,48422062928.00,7.00,969.67,0.00
firewall(2),tcp,400,0.754,firewall,0.000000000,0.000000000,0.000000000,0.000000000,139.60,1.056479218,0.307003674,1.41,1024.00,906.81,0.00,0.00,2.00,16384.00,238289.00,2078576400.00,94238142.00,48902962256.00,7.00,977.14,0.99
firewall(2),tcp,600,0.758,firewall,0.000000000,0.000000000,0.000000000,0.000000000,145.45,1.068614866,0.356916057,1.41,1024.00,906.81,0.00,0.00,37.00,180224.00,226078.00,1971394784.00,95424767.00,49539350376.00,7.00,971.43,0.00
firewall(2),tcp,800,0.726,firewall,0.000000000,0.000000000,0.000000000,0.000000000,141.60,1.053840230,0.356730547,1.41,1024.00,906.81,0.00,0.00,2.00,16384.00,226090.00,1971504800.00,96315672.00,50009779328.00,7.00,973.49,0.00
firewall(2),tcp,1000,0.696,firewall,0.000000000,0.000000000,0.000000000,0.000000000,141.30,1.069930778,0.327155643,1.41,1024.00,906.81,0.00,0.00,0.00,0.00,225529.00,1966606096.00,97176458.00,50464305416.00,7.00,976.71,0.00
netsniff-ng(1),tcp,200,0.327,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.029759417,0.039661352,3.25,1024.00,2092.22,5.00,53248.00,26.00,159744.00,0.00,0.00,195570.00,67222072.00,6.00,968.65,0.00
netsniff-ng(1),tcp,400,0.368,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.039611161,0.039680694,3.25,1024.00,2092.22,0.00,0.00,2.00,20480.00,0.00,0.00,195597.00,67262256.00,6.00,966.41,0.00
netsniff-ng(1),tcp,600,0.348,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,9.90,0.039633330,0.039772200,3.25,1024.00,2092.29,0.00,0.00,2.00,20480.00,0.00,0.00,195623.00,67301912.00,6.00,967.60,0.00
netsniff-ng(1),tcp,800,0.328,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.029737311,0.049668298,3.25,1024.00,2092.29,0.00,0.00,2.00,20480.00,0.00,0.00,195647.00,67340512.00,6.00,968.50,0.00
netsniff-ng(1),tcp,1000,0.415,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.029760057,0.039686758,3.25,1024.00,2092.29,0.00,0.00,0.00,0.00,0.00,0.00,195677.00,67381896.00,6.00,969.49,0.00
firewall(2),tcp,200,0.724,firewall,0.000000000,0.000000000,0.000000000,0.000000000,85.80,0.605053891,0.228135074,1.41,1024.00,906.81,0.00,0.00,11.00,57344.00,122846.00,1071183200.00,93333718.00,48422062928.00,7.00,969.67,0.00
firewall(2),tcp,400,0.754,firewall,0.000000000,0.000000000,0.000000000,0.000000000,139.60,1.056479218,0.307003674,1.41,1024.00,906.81,0.00,0.00,2.00,16384.00,238289.00,2078576400.00,94238142.00,48902962256.00,7.00,977.14,0.99
firewall(2),tcp,600,0.758,firewall,0.000000000,0.000000000,0.000000000,0.000000000,145.45,1.068614866,0.356916057,1.41,1024.00,906.81,0.00,0.00,37.00,180224.00,226078.00,1971394784.00,95424767.00,49539350376.00,7.00,971.43,0.00
firewall(2),tcp,800,0.726,firewall,0.000000000,0.000000000,0.000000000,0.000000000,141.60,1.053840230,0.356730547,1.41,1024.00,906.81,0.00,0.00,2.00,16384.00,226090.00,1971504800.00,96315672.00,50009779328.00,7.00,973.49,0.00
firewall(2),tcp,1000,0.696,firewall,0.000000000,0.000000000,0.000000000,0.000000000,141.30,1.069930778,0.327155643,1.41,1024.00,906.81,0.00,0.00,0.00,0.00,225529.00,1966606096.00,97176458.00,50464305416.00,7.00,976.71,0.00
netsniff-ng(1),tcp,200,0.327,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.029759417,0.039661352,3.25,1024.00,2092.22,5.00,53248.00,26.00,159744.00,0.00,0.00,195570.00,67222072.00,6.00,968.65,0.00
netsniff-ng(1),tcp,400,0.368,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.039611161,0.039680694,3.25,1024.00,2092.22,0.00,0.00,2.00,20480.00,0.00,0.00,195597.00,67262256.00,6.00,966.41,0.00
netsniff-ng(1),tcp,600,0.348,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,9.90,0.039633330,0.039772200,3.25,1024.00,2092.29,0.00,0.00,2.00,20480.00,0.00,0.00,195623.00,67301912.00,6.00,967.60,0.00
netsniff-ng(1),tcp,800,0.328,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.029737311,0.049668298,3.25,1024.00,2092.29,0.00,0.00,2.00,20480.00,0.00,0.00,195647.00,67340512.00,6.00,968.50,0.00
netsniff-ng(1),tcp,1000,0.415,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.029760057,0.039686758,3.25,1024.00,2092.29,0.00,0.00,0.00,0.00,0.00,0.00,195677.00,67381896.00,6.00,969.49,0.00
snort-ids(1),tcp,200,0.385,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.039651525,0.049565930,2.07,2048.00,1329.84,0.00,0.00,23.00,147456.00,0.00,0.00,2201.00,1874416.00,6.00,970.08,0.00
snort-ids(1),tcp,400,0.358,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.039642000,0.049569993,2.07,2048.00,1329.84,0.00,0.00,2.00,20480.00,0.00,0.00,2226.00,1913352.00,6.00,966.29,0.00
snort-ids(1),tcp,600,0.331,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.039606420,0.039712705,2.07,2048.00,1329.84,0.00,0.00,2.00,20480.00,0.00,0.00,2251.00,1952480.00,6.00,966.74,0.00
snort-ids(1),tcp,800,0.323,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.039646568,0.049538852,2.07,2048.00,1329.84,0.00,0.00,2.00,20480.00,0.00,0.00,2276.00,1991608.00,6.00,966.29,0.00
snort-ids(1),tcp,1000,0.320,snort-ids,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.039666913,0.029737720,2.07,2048.00,1329.84,0.00,0.00,2.00,20480.00,0.00,0.00,2299.00,2029616.00,6.00,969.21,0.00
firewall(2),tcp,200,0.724,firewall,0.000000000,0.000000000,0.000000000,0.000000000,85.80,0.605053891,0.228135074,1.41,1024.00,906.81,0.00,0.00,11.00,57344.00,122846.00,1071183200.00,93333718.00,48422062928.00,7.00,969.67,0.00
firewall(2),tcp,400,0.754,firewall,0.000000000,0.000000000,0.000000000,0.000000000,139.60,1.056479218,0.307003674,1.41,1024.00,906.81,0.00,0.00,2.00,16384.00,238289.00,2078576400.00,94238142.00,48902962256.00,7.00,977.14,0.99
firewall(2),tcp,600,0.758,firewall,0.000000000,0.000000000,0.000000000,0.000000000,145.45,1.068614866,0.356916057,1.41,1024.00,906.81,0.00,0.00,37.00,180224.00,226078.00,1971394784.00,95424767.00,49539350376.00,7.00,971.43,0.00
firewall(2),tcp,800,0.726,firewall,0.000000000,0.000000000,0.000000000,0.000000000,141.60,1.053840230,0.356730547,1.41,1024.00,906.81,0.00,0.00,2.00,16384.00,226090.00,1971504800.00,96315672.00,50009779328.00,7.00,973.49,0.00
firewall(2),tcp,1000,0.696,firewall,0.000000000,0.000000000,0.000000000,0.000000000,141.30,1.069930778,0.327155643,1.41,1024.00,906.81,0.00,0.00,0.00,0.00,225529.00,1966606096.00,97176458.00,50464305416.00,7.00,976.71,0.00
netsniff-ng(1),tcp,200,0.327,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,8.00,0.029759417,0.039661352,3.25,1024.00,2092.22,5.00,53248.00,26.00,159744.00,0.00,0.00,195570.00,67222072.00,6.00,968.65,0.00
netsniff-ng(1),tcp,400,0.368,netsniff-ng,0.000000000,0.000000000,0.000000000,0.000000000,10.00,0.039611161,0.039680694,3.25,1024.00,2092.22,0.00,0.00,2.00,20480.00,0.00,0.00,195597.00,67262256.00,6.00,966.41,0.00
